Id,donate_00,donate_01,donate_02,donate_03,donate_04,donate_05,donate_06,donate_07,donate_08,donate_09,donate_10,donate_11,last_donation
100109,1,0,1,0,0,1,1,1,1,1,1,1,10
100110,1,0,1,0,0,0,0,0,0,1,1,1,10
100111,1,1,1,1,0,1,0,0,0,0,0,0,5
100112,1,0,0,1,1,1,0,1,0,0,1,0,10
100113,1,1,1,1,1,1,0,1,1,1,0,0,9
100114,1,0,0,1,0,0,0,1,0,0,0,1,7
100115,1,0,1,1,1,1,1,1,1,1,1,1,10
100116,1,0,0,0,0,0,0,0,0,0,0,0,0
100117,1,0,1,0,1,0,1,0,0,0,0,0,6
100118,1,1,1,0,1,0,1,1,1,0,1,0,10
100119,1,0,0,0,0,0,0,0,0,0,0,0,0
100120,1,0,0,0,0,0,0,0,0,0,0,0,0
100121,1,0,0,0,0,0,0,1,0,1,0,1,9
100122,1,0,0,0,0,0,0,0,0,0,0,0,0
100123,1,1,1,0,0,0,0,0,1,0,0,0,8
100124,1,1,0,0,1,1,1,1,0,1,0,1,9
100125,1,0,0,0,0,0,0,0,0,0,0,0,0
100126,1,1,1,1,1,1,1,1,0,1,1,1,10
100127,1,0,1,0,0,0,1,0,1,0,0,1,8
100128,1,1,1,1,1,1,1,1,0,0,1,0,10
100129,1,0,1,1,0,1,1,1,1,1,1,1,10
100130,1,1,0,0,0,0,0,0,0,0,0,0,1
100131,1,1,1,1,1,0,0,0,0,0,0,0,4
100132,1,0,1,1,0,0,0,1,0,0,0,0,7
100133,1,1,1,1,1,1,1,1,1,1,1,0,10
100134,1,0,0,0,0,0,0,0,0,0,0,1,0
100135,1,1,0,0,0,0,0,0,1,0,0,0,8
100136,1,1,1,0,0,1,1,1,1,1,1,1,10
100137,1,0,0,0,0,0,0,0,0,0,0,0,0
100138,1,1,1,1,0,1,0,1,0,1,0,1,9
100139,1,1,1,1,1,1,1,1,1,1,1,1,10
100140,1,0,1,0,0,1,0,0,0,0,0,0,5
100141,1,1,0,0,0,0,0,0,0,0,0,0,1
100142,1,1,1,1,1,0,1,1,1,1,1,1,10
100143,1,0,0,0,0,0,0,0,0,0,0,0,0
100144,1,0,0,0,0,0,0,0,0,0,0,0,0
100145,1,1,1,1,1,1,0,0,0,0,0,0,5
100146,1,1,1,1,1,1,1,0,1,1,1,0,10
100147,1,1,1,1,1,1,1,1,1,1,1,1,10
100148,1,0,0,1,1,1,1,1,0,0,0,0,7
100149,1,0,0,1,0,1,1,0,0,0,0,0,6
100150,1,1,1,0,1,0,0,0,0,0,0,0,4
100151,1,0,0,0,0,1,1,0,0,1,0,0,9
100152,1,1,0,1,0,0,0,1,1,0,1,0,10
100153,1,1,0,0,0,0,0,0,0,0,0,0,1
100154,1,1,0,1,1,1,1,1,1,1,1,1,10
100155,1,1,0,1,0,1,0,1,1,0,0,0,8
100156,1,1,1,1,1,1,1,1,0,1,1,0,10
100157,1,0,1,0,1,1,1,0,0,0,0,0,6
100158,1,0,0,0,1,0,0,1,0,0,0,0,7
100159,1,1,0,0,0,0,0,0,0,0,0,0,1
100160,1,1,0,1,1,1,1,1,1,1,1,1,10
100161,1,0,0,0,0,0,0,1,1,1,0,0,9
100162,1,0,0,0,0,1,0,0,0,0,0,0,5
100163,1,1,1,1,0,1,1,1,1,1,1,1,10
100164,1,1,1,1,1,1,1,1,0,0,0,0,7
100165,1,0,0,0,0,0,0,0,0,1,1,1,10
100166,1,0,0,0,0,0,0,0,0,0,0,0,0
100167,1,1,0,0,0,1,0,0,0,0,0,0,5
100168,1,1,1,1,1,1,1,1,1,1,1,1,10
100169,1,0,0,0,0,0,0,0,0,0,0,0,0
100170,1,1,1,0,0,0,0,0,0,0,0,0,2
100171,1,0,0,0,0,0,0,0,0,0,0,0,0
100172,1,0,0,0,0,0,0,0,0,0,0,0,0
100173,1,0,0,1,0,0,0,0,0,0,1,0,10
100174,1,1,1,0,1,1,1,1,1,1,1,0,10
100175,1,0,1,0,1,1,1,1,1,1,0,0,9
100176,1,1,0,0,0,0,0,0,0,0,0,0,1
100177,1,1,1,0,0,1,1,0,0,1,0,0,9
100178,1,0,1,1,1,0,0,0,0,0,0,0,4
100179,1,1,0,1,1,1,1,1,1,0,1,0,10
100180,1,1,1,1,1,0,1,1,1,1,0,0,9
100181,1,1,1,0,0,0,0,0,0,0,0,0,2
100182,1,1,1,1,1,1,1,1,0,0,0,0,7
100183,1,1,1,1,1,1,1,1,1,1,1,0,10
100184,1,0,0,0,0,0,0,0,0,1,0,1,9
100185,1,1,1,0,1,1,1,1,1,0,0,0,8
100186,1,0,0,0,0,0,0,0,1,1,0,0,9
100187,1,1,1,1,0,0,0,0,0,0,0,0,3
100188,1,0,1,0,0,1,1,1,1,0,1,1,10
100189,1,1,1,0,1,1,0,1,1,1,1,1,10
100190,1,1,1,1,1,1,1,1,0,0,0,0,7
100191,1,0,1,0,0,0,1,0,0,1,1,1,10
100192,1,0,1,1,0,0,0,0,0,0,0,0,3
100193,1,0,0,0,0,0,0,0,0,0,0,0,0
100194,1,1,1,1,1,0,1,1,1,1,1,1,10
100195,1,1,1,0,0,0,0,0,0,0,0,0,2
100196,1,1,0,1,1,1,1,1,1,1,1,1,10
100197,1,1,0,0,0,0,0,0,0,0,0,0,1
100198,1,1,0,1,1,1,1,1,1,1,1,1,10
100199,1,0,0,0,0,0,0,0,0,0,0,0,0
100200,1,1,0,0,0,0,0,0,0,0,0,0,1
100201,1,1,0,1,1,0,0,0,1,1,1,0,10
100202,1,1,1,1,1,1,1,0,0,0,0,0,6
100203,1,1,0,0,0,0,0,0,0,0,0,0,1
100204,1,1,1,1,0,1,1,1,1,0,1,0,10
100205,1,1,1,1,1,0,0,0,0,0,0,0,4
100206,1,0,0,0,0,0,0,0,0,0,0,0,0
100207,1,0,0,0,0,0,0,0,0,0,0,0,0
100208,1,0,0,0,0,0,0,0,0,0,0,0,0
100209,1,1,1,1,1,1,1,1,1,1,1,1,10
100210,1,0,0,0,1,1,1,1,1,0,0,0,8
100211,1,1,1,0,0,0,0,0,0,0,0,0,2
100212,1,1,1,1,1,1,1,1,0,0,0,0,7
100213,1,1,1,1,1,1,0,0,0,0,0,0,5
100214,1,1,1,1,1,1,1,0,1,1,0,0,9
100215,1,1,1,0,1,0,1,0,1,0,0,0,8
100216,1,0,1,1,0,1,0,1,1,1,1,1,10
100217,1,0,0,0,0,0,0,0,0,0,0,0,0
100218,1,0,1,1,1,0,0,0,0,0,0,0,4
100219,1,1,0,0,0,0,0,0,0,0,0,0,1
100220,1,0,0,0,0,0,0,1,0,0,0,0,7
100221,1,1,1,1,1,1,1,1,0,0,0,0,7
100222,1,0,1,0,0,0,0,1,1,1,0,1,9
100223,1,1,1,1,0,0,0,0,0,0,0,0,3
100224,1,0,0,0,0,0,0,0,0,0,0,0,0
100225,1,0,0,0,0,0,0,0,0,0,0,0,0
100226,1,0,1,0,0,0,0,0,0,0,0,0,2
100227,1,1,0,1,0,0,0,1,0,0,0,1,7
100228,1,1,0,1,1,0,0,0,1,0,0,0,8
100229,1,1,0,1,0,0,0,0,0,0,0,0,3
100230,1,0,0,0,0,0,0,0,0,0,0,0,0
100231,1,0,0,0,0,0,0,1,1,1,1,1,10
100232,1,1,0,1,1,1,1,1,1,1,0,0,9
100233,1,0,0,0,1,0,0,0,0,0,0,0,4
100234,1,1,1,0,1,1,1,1,0,1,1,0,10
100235,1,1,1,1,1,1,0,1,1,1,0,0,9
100236,1,1,1,1,1,1,1,1,1,1,1,1,10
100237,1,1,0,1,0,1,1,1,1,1,1,0,10
100238,1,1,1,0,0,0,0,0,0,0,0,1,2
100239,1,1,0,1,1,1,1,1,0,0,0,0,7
100240,1,1,1,0,1,1,1,1,1,1,1,1,10
100241,1,0,1,1,1,1,1,1,1,1,1,1,10
100242,1,1,1,0,1,1,1,1,1,1,1,0,10
100243,1,1,1,1,1,1,1,1,1,1,1,1,10
100244,1,1,1,0,0,0,0,0,1,0,1,1,10
100245,1,0,0,1,1,1,0,0,0,0,0,0,5
100246,1,1,1,0,0,0,0,0,0,0,0,0,2
100247,1,0,0,0,0,1,0,1,0,1,1,1,10
100248,1,1,1,0,0,0,0,0,0,0,0,0,2
100249,1,1,1,1,1,1,1,1,1,1,1,1,10
100250,1,0,0,0,0,0,0,0,0,0,0,0,0
100251,1,0,0,0,0,0,1,1,1,0,0,0,8
100252,1,1,1,1,1,1,1,1,1,1,1,0,10
100253,1,1,1,1,1,1,1,1,1,1,1,1,10
100254,1,1,1,1,1,1,0,0,0,0,0,0,5
100255,1,1,1,1,1,1,1,1,1,1,1,0,10
100256,1,0,0,0,0,0,0,0,0,0,0,0,0
100257,1,0,1,0,1,1,0,1,1,1,1,0,10
100258,1,0,0,1,0,0,1,0,0,0,0,0,6
100259,1,0,1,0,0,0,1,0,0,0,0,0,6
100260,1,0,0,0,0,0,0,0,0,1,0,0,9
100261,1,0,1,1,1,0,0,1,0,1,1,1,10
100262,1,1,1,1,1,1,1,1,1,1,1,1,10
100263,1,0,0,0,1,1,1,1,0,0,0,0,7
100264,1,1,0,1,0,1,1,1,1,1,0,0,9
100265,1,1,1,1,0,0,0,0,0,0,0,0,3
100266,1,1,1,1,1,1,1,1,1,1,1,1,10
100267,1,1,1,1,1,0,0,0,0,0,0,0,4
100268,1,1,1,0,0,0,0,0,0,0,0,0,2
100269,1,1,1,1,0,1,1,1,0,1,1,1,10
100270,1,1,1,1,0,1,1,0,1,0,1,1,10
100271,1,0,0,1,1,0,0,1,1,1,1,1,10
100272,1,1,1,1,0,1,0,1,1,1,1,0,10
100273,1,1,1,0,1,1,0,0,1,1,1,1,10
100274,1,0,0,0,0,0,0,0,0,0,0,0,0
100275,1,1,1,0,0,0,0,0,0,0,0,0,2
100276,1,0,0,0,0,0,0,0,0,0,0,0,0
100277,1,0,0,0,0,0,0,1,1,0,0,0,8
100278,1,1,0,0,0,0,0,0,0,0,0,0,1
100279,1,1,1,1,1,1,1,1,1,1,0,0,9
100280,1,1,1,0,1,1,1,1,1,1,0,0,9
100281,1,1,1,1,1,1,1,1,1,1,1,1,10
100282,1,1,1,0,1,1,1,1,1,0,1,1,10
100283,1,1,0,1,1,1,1,1,1,1,1,1,10
100284,1,0,0,0,0,0,0,0,0,0,0,0,0
100285,1,1,1,0,0,0,1,0,1,1,1,0,10
100286,1,1,0,0,0,0,0,0,0,0,0,0,1
100287,1,1,1,1,1,1,1,0,0,0,0,0,6
100288,1,0,0,0,1,0,0,0,0,0,0,0,4
100289,1,1,0,0,0,0,1,1,0,0,0,1,7
100290,1,1,1,1,1,0,1,1,1,1,1,0,10
100291,1,0,0,0,0,0,0,0,0,0,0,0,0
100292,1,0,1,1,1,0,0,0,0,0,0,0,4
100293,1,1,0,1,1,0,1,1,1,0,1,0,10
100294,1,0,0,0,0,0,0,0,0,0,0,0,0
100295,1,1,1,1,0,0,0,0,0,0,0,0,3
100296,1,0,0,0,0,0,0,0,0,0,0,0,0
100297,1,1,0,0,1,1,0,0,1,0,1,1,10
100298,1,0,1,1,1,1,0,1,1,1,1,1,10
100299,1,1,1,0,1,1,0,1,0,0,0,1,7
100300,1,0,0,1,1,1,0,0,1,0,0,1,8
100301,1,1,0,0,0,0,0,0,0,0,0,0,1
100302,1,1,1,0,0,0,0,0,0,0,0,0,2
100303,1,0,1,1,1,1,1,1,1,1,0,0,9
100304,1,1,1,0,0,1,1,1,1,1,1,1,10
100305,1,1,1,1,1,1,1,1,1,1,1,1,10
100306,1,0,0,0,0,0,0,0,0,0,0,0,0
100307,1,1,0,0,0,0,0,0,0,0,0,0,1
100308,1,1,1,0,0,0,1,1,0,0,1,1,10
100309,1,1,1,1,1,1,1,1,1,1,1,1,10
100310,1,1,1,0,0,0,0,0,0,0,0,0,2
100311,1,0,1,1,0,1,0,0,1,0,0,0,8
100312,1,1,1,1,0,1,1,1,1,0,1,0,10
100313,1,0,0,0,0,0,0,0,0,0,0,0,0
100314,1,1,1,1,1,1,0,1,1,1,0,0,9
100315,1,0,1,0,0,1,0,0,0,0,0,0,5
100316,1,1,1,1,1,1,1,0,1,0,1,1,10
100317,1,0,0,0,0,0,0,1,0,0,0,0,7
100318,1,1,0,0,0,0,0,0,0,0,0,0,1
100319,1,1,0,0,0,0,0,0,0,0,0,0,1
100320,1,0,0,1,1,1,1,0,0,1,1,0,10
100321,1,0,0,0,0,0,0,0,0,0,0,0,0
100322,1,1,1,0,1,1,1,1,1,1,1,1,10
100323,1,1,1,1,1,0,1,1,0,1,1,1,10
100324,1,0,0,0,0,0,0,0,0,0,0,0,0
100325,1,1,0,0,0,1,1,0,0,0,0,0,6
100326,1,1,1,1,1,1,1,1,1,0,0,0,8
100327,1,1,0,1,1,1,1,1,0,0,0,0,7
100328,1,0,0,0,1,1,0,0,0,0,1,1,10
100329,1,0,0,0,0,0,0,0,0,0,0,0,0
100330,1,0,1,0,1,0,1,0,0,0,1,0,10
100331,1,0,1,1,1,1,1,1,1,1,1,0,10
100332,1,1,1,1,0,1,0,0,1,0,1,1,10
100333,1,1,1,1,1,1,1,1,1,1,1,1,10
100334,1,1,1,1,1,1,1,1,1,1,1,1,10
100335,1,1,1,0,0,0,0,0,0,0,0,0,2
100336,1,1,1,1,1,1,0,1,1,1,1,1,10
100337,1,0,0,0,0,0,0,0,0,0,0,0,0
100338,1,1,1,0,1,0,1,1,0,1,1,1,10
100339,1,1,1,0,0,0,0,0,1,0,0,0,8
100340,1,1,1,1,1,1,1,1,1,1,1,1,10
100341,1,1,1,1,0,0,0,1,0,1,1,0,10
100342,1,1,0,1,1,0,0,0,0,0,0,1,4
100343,1,0,1,1,1,1,1,1,1,1,1,0,10
100344,1,1,1,1,1,1,1,1,0,1,1,1,10
100345,1,1,0,0,1,1,0,0,0,0,0,0,5
100346,1,1,1,0,1,1,1,1,1,1,1,1,10
100347,1,0,0,0,0,0,0,0,0,0,0,0,0
100348,1,1,0,0,0,1,0,1,0,1,1,1,10
100349,1,0,1,0,1,0,1,1,1,1,1,0,10
100350,1,0,0,1,0,0,0,0,0,0,0,0,3
100351,1,0,1,1,1,1,0,1,0,0,0,0,7
100352,1,1,0,0,0,0,0,0,0,0,0,0,1
100353,1,0,0,0,0,0,0,0,0,0,0,0,0
100354,1,0,0,0,0,0,0,0,0,0,0,0,0
100355,1,0,0,0,0,0,0,0,0,0,0,0,0
100356,1,0,0,0,0,0,0,0,0,0,0,0,0
100357,1,1,1,1,1,1,1,1,0,1,1,1,10
100358,1,1,0,0,0,0,0,0,0,0,0,0,1
100359,1,0,1,0,0,1,0,1,1,1,1,0,10
100360,1,0,1,0,0,0,0,0,0,0,0,0,2
100361,1,1,1,1,1,0,1,0,0,0,1,1,10
100362,1,0,0,0,0,0,0,0,0,0,0,0,0
100363,1,1,1,1,1,0,0,0,0,0,0,0,4
100364,1,0,0,0,0,1,0,0,0,1,1,0,10
100365,1,1,1,1,0,1,0,0,1,1,1,1,10
100366,1,0,0,1,0,0,0,0,0,0,0,0,3
100367,1,1,1,1,1,1,1,1,1,1,1,1,10
100368,1,1,1,1,1,1,1,1,0,1,1,1,10
100369,1,1,0,0,0,0,0,0,0,1,0,1,9
100370,1,1,1,0,0,0,0,0,0,0,0,0,2
100371,1,1,1,1,1,1,0,1,1,1,0,1,9
100372,1,1,1,0,1,1,0,1,0,0,0,0,7
100373,1,0,0,0,0,0,0,0,0,0,0,0,0
100374,1,1,1,1,0,1,1,1,1,1,1,1,10
100375,1,1,1,1,1,1,1,1,1,1,1,0,10
100376,1,1,1,1,1,1,1,1,1,1,1,0,10
100377,1,0,0,0,0,0,1,1,0,0,1,0,10
100378,1,0,0,0,0,0,0,0,0,0,0,0,0
100379,1,0,0,0,0,0,1,1,0,0,0,1,7
100380,1,1,1,1,1,1,0,0,0,0,0,0,5
100381,1,1,1,1,1,0,1,0,0,1,0,0,9
100382,1,1,1,1,1,1,1,1,1,1,1,1,10
100383,1,0,0,0,0,0,0,1,0,1,1,0,10
100384,1,0,0,0,0,0,0,0,0,1,0,0,9
100385,1,0,0,0,0,0,0,0,0,0,0,0,0
100386,1,0,0,0,0,0,0,0,0,0,0,0,0
100387,1,1,0,0,0,0,0,0,0,0,0,0,1
100388,1,1,1,1,1,1,1,1,1,1,0,0,9
100389,1,1,0,1,1,1,0,1,1,0,1,0,10
100390,1,1,1,1,1,1,1,0,0,0,0,0,6
100391,1,0,0,0,0,0,0,0,0,0,0,0,0
100392,1,0,1,0,0,0,0,0,0,0,0,0,2
100393,1,1,1,1,1,1,1,1,0,0,0,0,7
100394,1,1,1,1,1,1,0,1,0,1,0,1,9
100395,1,1,0,1,1,0,1,1,1,0,1,0,10
100396,1,0,0,0,0,0,0,0,0,0,0,0,0
100397,1,1,0,0,1,0,1,0,0,1,1,0,10
100398,1,1,1,1,0,0,0,0,0,0,0,0,3
100399,1,1,1,0,1,1,1,1,0,1,0,0,9
100400,1,1,1,1,1,1,1,1,0,0,0,0,7
100401,1,0,1,0,1,0,0,0,0,0,0,0,4
100402,1,1,0,0,0,0,0,0,0,0,0,0,1
100403,1,0,1,1,0,0,0,0,0,0,0,0,3
100404,1,1,1,0,1,1,1,0,0,0,0,0,6
100405,1,1,1,1,1,1,1,1,1,1,0,0,9
100406,1,0,0,0,0,0,0,1,1,1,0,0,9
100407,1,1,1,0,1,0,0,0,0,0,0,0,4
100408,1,0,0,0,0,0,0,0,0,0,0,0,0
100409,1,0,0,0,0,1,1,0,1,1,1,0,10
100410,1,1,1,1,1,0,0,0,0,1,0,0,9
100411,1,1,1,1,0,0,1,1,1,0,1,0,10
100412,1,1,0,1,0,0,0,0,0,0,0,0,3
100413,1,1,1,0,0,0,0,0,0,0,0,0,2
100414,1,0,0,0,0,1,1,1,1,1,1,0,10
100415,1,1,0,0,1,1,1,1,1,1,1,1,10
100416,1,0,0,0,0,0,0,0,0,0,0,0,0
100417,1,1,0,0,0,0,0,0,0,0,0,0,1
100418,1,0,1,1,1,1,0,1,1,1,1,1,10
100419,1,0,0,0,0,0,0,0,0,0,0,0,0
100420,1,0,1,1,1,1,1,1,1,1,1,0,10
100421,1,0,1,1,0,0,0,0,0,0,0,0,3
100422,1,0,0,0,0,0,0,0,0,0,0,0,0
100423,1,0,0,0,0,0,0,1,0,0,0,0,7
100424,1,1,1,0,0,0,0,0,0,0,0,0,2
100425,1,0,1,0,0,0,1,0,1,0,0,0,8
100426,1,1,1,1,1,1,1,1,1,1,0,0,9
100427,1,1,1,1,1,1,0,0,0,0,0,0,5
100428,1,1,0,1,0,0,0,0,0,0,0,0,3
100429,1,0,1,1,0,0,1,0,0,1,0,0,9
100430,1,1,1,1,0,1,1,1,1,0,1,1,10
100431,1,0,0,1,0,0,0,1,0,0,1,0,10
100432,1,0,1,1,1,1,1,1,1,1,1,0,10
100433,1,1,1,1,1,1,1,1,1,1,0,1,9
100434,1,1,0,0,1,1,0,0,0,0,0,0,5
100435,1,0,1,0,0,1,0,1,1,0,0,0,8
100436,1,0,0,0,0,0,0,0,0,0,0,0,0
100437,1,0,0,0,0,0,0,0,0,0,0,0,0
100438,1,0,1,1,1,1,1,1,1,1,1,1,10
100439,1,0,0,0,0,0,0,0,0,0,0,1,0
100440,1,0,0,0,0,0,0,0,0,0,0,0,0
100441,1,1,0,1,1,0,1,1,0,1,1,0,10
100442,1,0,0,0,0,0,0,0,0,0,0,0,0
100443,1,1,1,1,1,1,1,0,1,0,1,1,10
100444,1,0,1,0,1,1,1,1,1,1,1,1,10
100445,1,0,1,0,0,1,0,0,0,0,0,0,5
100446,1,1,1,1,0,1,0,0,0,0,0,0,5
100447,1,1,0,0,0,0,0,0,0,0,0,0,1
100448,1,0,0,0,0,0,0,0,0,0,0,0,0
100449,1,1,1,1,0,0,0,0,0,0,0,0,3
100450,1,1,0,1,0,0,0,0,0,0,0,0,3
100451,1,1,1,1,0,0,0,0,0,0,0,0,3
100452,1,1,1,0,0,0,0,0,0,0,0,0,2
100453,1,0,0,0,0,0,0,0,0,0,0,0,0
100454,1,0,0,0,0,0,1,1,0,1,1,0,10
100455,1,1,1,0,0,0,0,0,0,0,0,0,2
100456,1,0,0,0,0,0,0,0,0,0,0,0,0
100457,1,1,1,1,1,1,1,1,1,1,1,1,10
100458,1,1,1,1,1,1,1,1,1,1,1,1,10
100459,1,1,0,0,0,0,0,0,0,0,0,0,1
100460,1,0,0,1,1,1,0,0,0,0,0,0,5
100461,1,0,0,0,0,0,0,0,0,0,0,0,0
100462,1,0,0,0,0,0,0,0,0,0,0,0,0
100463,1,0,0,0,0,0,0,0,0,0,0,0,0
100464,1,0,0,1,0,0,1,1,1,0,1,1,10
100465,1,1,1,1,1,1,1,1,1,0,1,0,10
100466,1,1,1,1,0,0,0,0,0,0,0,0,3
100467,1,1,1,1,1,0,1,1,1,1,1,0,10
100468,1,1,0,1,1,1,1,0,0,0,0,0,6
100469,1,1,1,1,1,0,0,0,1,1,0,1,9
100470,1,1,1,1,1,1,1,1,1,1,1,1,10
100471,1,1,1,1,0,0,0,0,0,0,0,0,3
100472,1,0,0,0,0,0,0,0,0,0,0,0,0
100473,1,1,0,0,0,0,0,0,0,0,1,0,10
100474,1,0,0,0,0,1,1,1,0,1,0,0,9
100475,1,0,0,0,0,0,1,0,0,0,0,0,6
100476,1,1,1,1,0,1,0,1,0,0,0,0,7
100477,1,1,1,0,1,1,0,0,1,1,1,1,10
100478,1,1,1,0,0,0,0,0,0,0,0,0,2
